식품명,1회제공량,에너지(Kcal),단백질(g),탄수화물(g),지질(g),총당류(g),나트륨(mg),식품코드
소고기 들깨 알토란탕,297.0,146.42,7.57,17.4,5.17,-,675.68,D018570
코다리 뿌리채소 들깨탕,347.0,93.33,14.75,3.64,2.2,-,155.11,D018571
할라피뇨 통살버거,267.0,631.0,27,-,-,8,1103,D018923
BLT샌드위치,220.0,423.85,20.9,18.56,29.56,1.31,786.82,D018296
감자크로켓,150.0,295.63,8.55,18.37,20.89,2.89,262.16,D018297
꽈배기,70.0,272.34,5.83,30.1,14.29,7.04,225.13,D018298
닭가슴살샌드위치,230.0,551.65,28.02,48.21,27.41,7.1,1006.32,D018299
도넛,70.0,294.22,4.48,31.39,16.75,8.31,145.12,D018300
롤케이크,100.0,311.94,7.36,44.01,11.83,24.64,142.89,D018301
링도넛,100.0,514.57,7.85,46.16,33.17,11.6,537.42,D018302
마늘빵,50.0,219.12,6.03,28.97,8.79,3.68,259.74,D018303
머핀,130.0,499.29,7.45,76.89,17.99,51.55,534.61,D018304
모닝빵,70.0,219.52,6.65,36.52,5.2,5.58,342.38,D018305
모카빵,150.0,507.78,12.82,86.94,12.08,18.79,531.15,D018306
베이글,120.0,367.64,12,64.18,6.99,5.5,834.26,D018307
불고기버거,200.0,499.77,27.76,45.35,23.04,0.26,676.85,D018308
사과파이,100.0,184.65,2.54,34.83,3.91,7.11,204.49,D018309
생크림케이크,100.0,237.09,3.45,27.62,12.54,14.49,151.11,D018310
소보로빵,70.0,274.19,5.79,38.94,10.59,11.68,277.44,D018311
식빵,100.0,264.36,9.34,50.91,2.6,1.56,468.43,D018312
식빵토스트,100.0,365.67,8.78,51.47,13.85,4.5,532.65,D018313
찐빵,250.0,532.43,12.98,119.43,0.31,27.6,585.27,D018314
참치 샌드위치,250.0,505.3,26.34,34.45,29.13,3.46,522.16,D018315
찹쌀도넛,70.0,201.62,4.2,38.89,3.25,7.73,218.53,D018316
채소샌드위치,180.0,439.87,7.35,42.88,26.55,25.66,766.41,D018317
초코 소라빵,70.0,222.99,2.3,36.23,7.65,6.5,150.4,D018318
츄러스,70.0,252.49,4.62,40.72,7.9,15.91,253.88,D018319
치킨버거,200.0,475.56,24.86,50.17,19.49,3.82,666.76,D018320
카스텔라,70.0,234.74,7.02,33.59,8.03,23.64,43.81,D018321
콤비네이션피자,200.0,548.05,21.35,51.07,28.71,9.69,882.61,D018322
크로아상,150.0,669.17,11.28,64.96,40.47,9.15,685.04,D018323
페이스트리,70.0,326.3,5.82,29.05,20.76,4.5,261.05,D018324
피자빵,200.0,595.65,17.7,63.52,30.09,16.21,1274.89,D018325
햄버거,200.0,527.67,25.69,43.34,27.95,6.25,900.73,D018326
햄샌드위치,200.0,439.2,24.88,31.28,23.84,3.79,1397.4,D018327
햄치즈샌드위치,240.0,433.09,21.15,45.79,18.37,9.62,658.78,D018328
호떡,150.0,470.6,8.11,85.68,10.61,1.09,316.31,D018329
팔자피자L,116.0,300.0,13,-,-,5,460,D018554
팔자피자R,86.0,205.0,9,-,-,5,390,D018555
옥수수피자L,100.0,225.0,9,-,-,7,300,D018556
옥수수피자R,89.0,195.0,10,-,-,5,260,D018557
팔도피자L,101.0,225.0,13,-,-,2,340,D018558
클래식치즈피자,241.0,685.0,37.38,77.65,24.58,11.98,995.81,D018622
햄앤체다피자,221.0,597.0,28.88,72.66,21.35,13.13,963.76,D018623
고르곤졸라피자,229.0,695.0,35.01,78.3,27.09,9.14,965.21,D018624
페파로니,267.0,746.0,35.32,83.68,29.74,19.38,1275.91,D018625
페파로니매니아피자,283.0,816.0,38.12,85.32,35.97,13.27,1512.55,D018626
청양페파로니피자,272.0,751.0,34.6,83.48,31.47,22.28,1298.72,D018627
하와이안피자,292.0,672.0,33.08,90.11,19.86,26.48,1018.12,D018628
슈퍼콤비네이션피자,256.0,626.0,27.62,79,22.4,12.47,954.7,D018629
고구마피자,297.0,721.0,28.78,95.07,25.07,27.09,1043.81,D018630
베이컨포테이토피자,292.0,747.0,33.81,91.51,27.19,17.23,1046,D018631
불고기피자,260.0,670.0,30.94,77.87,26.42,12.58,942.5,D018632
부라타치즈피자,251.0,619.0,30.25,73.02,22.94,11.22,1076.16,D018633
나폴리슈림프피자,274.0,593.0,29.73,80.09,16.52,15.86,1004.48,D018634
디아볼라피자,262.0,626.0,30.94,76.45,22.45,15.64,1062.54,D018635
미니브라우니,107.0,394.0,5.92,60.7,13.58,34.96,165.59,D018649
더블치즈(BL),132.0,381.0,18,48,13,5,421,D018655
더블치즈(L),110.0,319.0,15,40,11,4,352,D018656
더블치즈(M),98.0,290.0,14,36,10,4,314,D018657
페퍼로니(BL),127.0,377.0,20,45,13,4,464,D018658
페퍼로니(L),106.0,306.0,17,37,10,3,384,D018659
페퍼로니(M),94.0,273.0,15,33,9,3,343,D018660
하와이안피자(BL),137.0,367.0,24,43,11,7,474,D018661
하와이안피자(L),116.0,314.0,20,36,10,6,400,D018662
하와이안피자(M),104.0,285.0,18,33,9,5,361,D018663
더블치즈베이컨(BL),148.0,411.0,22,47,15,5,587,D018664
더블치즈베이컨(L),126.0,353.0,19,40,13,5,501,D018665
더블치즈베이컨(M),111.0,316.0,16,36,12,4,442,D018666
대만감자(BL),180.0,423.0,18,54,15,6,600,D018667
대만감자(L),155.0,365.0,15,47,13,5,517,D018668
대만감자(M),138.0,323.0,14,42,11,5,461,D018669
불고기(BL),158.0,393.0,23,46,13,6,482,D018670
불고기(L),135.0,335.0,20,39,11,5,411,D018671
불고기(M),118.0,294.0,17,34,10,5,360,D018672
슈퍼슈프림(BL),159.0,410.0,20,51,14,8,509,D018673
슈퍼슈프림(L),134.0,352.0,17,44,12,7,431,D018674
슈퍼슈프림(M),119.0,306.0,15,39,10,6,383,D018675
포테이토(BL),171.0,412.0,18,49,16,5,567,D018676
포테이토(L),147.0,358.0,16,42,14,4,485,D018677
포테이토(M),127.0,308.0,14,36,12,4,421,D018678
헤븐스페셜(BL),150.0,406.0,20,50,14,5,556,D018679
헤븐스페셜(L),126.0,344.0,17,42,12,4,466,D018680
헤븐스페셜(M),112.0,302.0,15,38,10,4,415,D018681
고구마스위트(BL),174.0,483.0,16,62,19,15,531,D018682
고구마스위트(L),150.0,416.0,14,54,16,13,459,D018683
고구마스위트(M),137.0,383.0,13,49,15,12,418,D018684
핫앤스파이시(BL),165.0,441.0,20,52,17,7,535,D018685
핫앤스파이시(L),140.0,370.0,17,44,14,6,454,D018686
핫앤스파이시(M),121.0,320.0,15,38,12,5,393,D018687
1988(BL),181.0,464.0,20,60,16,6,614,D018688
1988(L),156.0,398.0,17,51,14,5,529,D018689
1988(M),138.0,352.0,15,46,12,4,468,D018690
더블포테이토(BL),188.0,465.0,21,57,17,7,624,D018691
더블포테이토(L),163.0,407.0,18,50,15,6,541,D018692
더블포테이토(M),142.0,353.0,16,43,13,5,472,D018693
쉬림프디럭스(BL),162.0,362.0,18,50,10,9,605,D018694
쉬림프디럭스(L),138.0,313.0,15,43,9,7,517,D018695
쉬림프디럭스(M),121.0,272.0,13,37,8,6,451,D018696
치킨바비큐(BL),165.0,407.0,30,47,11,8,607,D018697
치킨바비큐(L),142.0,354.0,26,40,10,7,521,D018698
치킨바비큐(M),122.0,300.0,22,35,8,6,448,D018699
그릴드포크벨리(BL),177.0,448.0,20,56,16,8,602,D018700
그릴드포크벨리(L),154.0,386.0,17,48,14,7,525,D018701
그릴드포크벨리(M),135.0,336.0,15,42,12,6,460,D018702
눈꽃치즈스테이크(BL),194.0,466.0,26,50,18,6,565,D018703
눈꽃치즈스테이크(L),170.0,403.0,23,44,15,5,494,D018704
눈꽃치즈스테이크(M),147.0,349.0,20,38,13,4,427,D018705
눈꽃치즈멕시카나(BL),186.0,431.0,24,50,15,8,745,D018706
눈꽃치즈멕시카나(L),162.0,373.0,21,43,13,7,648,D018707
눈꽃치즈멕시카나(M),139.0,319.0,18,37,11,6,556,D018708
미트킹덤(BL),180.0,439.0,20,56,15,10,659,D018709
미트킹덤(L),159.0,389.0,18,50,13,8,581,D018710
미트킹덤(M),140.0,348.0,16,44,12,7,512,D018711
사대천왕(BL),167.0,413.0,23,51,13,6,611,D018712
사대천왕(L),139.0,347.0,19,43,11,5,509,D018713
황제천왕(BL),190.0,476.0,22,52,20,8,653,D018714
황제천왕(L),160.0,405.0,19,44,17,7,552,D018715
프랑크필레(BL),178.0,457.0,20,56,17,6,656,D018716
프랑크필레(L),151.0,391.0,17,47,15,5,556,D018717
프랑크필레(M),133.0,345.0,15,42,13,4,488,D018718
아메리칸스페셜(BL),159.0,441.0,23,49,17,6,615,D018719
아메리칸스페셜(L),135.0,379.0,19,42,15,5,524,D018720
아메리칸스페셜(M),123.0,341.0,18,38,13,4,477,D018721
레드핫치킨(BL),170.0,426.0,22,53,14,8,602,D018722
레드핫치킨(L),146.0,364.0,19,45,12,7,518,D018723
레드핫치킨(M),130.0,318.0,17,40,10,6,460,D018724
고구마 샐러드,112.0,273.0,10,38,9,10,309,D018740
슈퍼콤보,137.0,332.0,16,40,12,3,574,D018741
핫도그,100.0,309.0,9,30,17,9,476,D018750
마늘 빵,100.0,358.0,10,48,14,0,307,D018753
크림갈릭볼,120.0,547.0,8,50,35,11,456,D018754
츄러스,80.0,284.0,4,40,12,9,264,D018756
치즈츄러스,80.0,284.0,4,40,12,9,290,D018757
스틱츄,175.0,648.0,9,90,28,22,560,D018758
치즈스틱츄,175.0,643.0,9,91,27,24,620,D018759
초코필링츄,215.0,861.0,12,120,37,43,632,D018760
시나몬츄라이,180.0,872.0,10,100,48,23,652,D018761
케이준츄라이,180.0,860.0,11,96,48,15,1394,D018762
어니언츄라이,180.0,903.0,11,91,55,12,1137,D018763
칠리덕,165.0,438.0,14,37,26,10,942,D018764
치즈덕,165.0,439.0,14,35,27,6,867,D018765
곰보빵,70.0,277.34,6.31,42.16,9.27,11.73,202.25,D000288
만주,70.0,222.49,5.13,46.8,1.64,22.45,118.19,D000291
버터크림빵,60.0,229.96,4.91,27.74,11.04,7.19,191.18,D000294
불고기피자,200.0,505.0,27.4,61.2,16.7,9.2,916.87,D000297
참치샌드위치,250.0,555.0,23.3,36.5,35.1,10.1,915.59,D000299
찹쌀도우넛,70.0,207.05,3.53,39.95,3.68,12.13,242.99,D000300
채소고로케,100.0,300.65,7.13,31.19,16.38,3.37,403.33,D000301
초콜릿케이크,100.0,420.24,5.31,43.6,24.96,23.13,170,D000302
치즈케이크,100.0,329.14,7.23,28.64,20.63,15.28,200.67,D000303
치즈피자,200.0,553.0,31.4,71.2,15.8,6.8,949.96,D000304
페이스트리빵,70.0,319.59,5.99,32.52,18.4,5.75,295.79,D000308
페퍼로니피자,200.0,532.0,29.4,70.3,14.8,7.5,945.22,D000309
포테이토피자,250.0,628.0,28,71.6,25.5,8.5,999.93,D000310
글램핑 바비큐(오리지널 L),157.0,410.0,17,-,-,10,744,D010001
글램핑 바비큐(나폴리M),127.0,328.0,15,-,-,8,644,D010002
글램핑 바비큐(나폴리L),126.0,312.0,16,-,-,10,734,D010003
