식품명,1회제공량,에너지(Kcal),단백질(g),탄수화물(g),지질(g),총당류(g),나트륨(mg),식품코드
뉴트리 클로렐라컵면,65.0,300.0,6,41,12,1,940,P064396
뉴트리김치찌개면,140.0,480.0,6,66,20,1,1870,P064397
더왕뚜껑컵 순한맛,101.0,420.0,8,68,13,4,1690,P064398
독도사랑새우맛라면,105.0,450.0,11,70,14,4,1790,P064399
민생라면컵,80.0,350.0,7,53,12,2,1470,P064400
봉희설렁탕컵,110.0,525.0,8,67,25,3,1780,P064401
뽀로로스파게티,65.0,295.0,5,42,12,6,610,P064402
뽀로로짜장,65.0,290.0,6,42,11,4,600,P064403
왕뚜껑컵,65.0,285.0,5,46,9,3,1050,P064404
육개장 컵라면,79.0,345.0,7,55,11,3,1460,P064405
일품해물라면 왕컵,110.0,470.0,11,73,15,4,1620,P064406
일품해물라면컵,65.0,275.0,6,45,8,3,990,P064407
팔도 mini 우동 왕뚜껑,80.0,375.0,7,58,13,3,1260,P064408
팔도 mini왕뚜껑,80.0,355.0,6,49,15,3,1240,P064409
팔도 가쓰오우동왕뚜껑,110.0,490.0,8,70,20,4,1580,P064410
팔도 김치왕뚜껑,110.0,470.0,8,71,17,4,1790,P064411
팔도 왕뚜껑,110.0,475.0,9,71,17,4,1690,P064412
팔도 틈새라면 볶음면 컵,105.0,430.0,8,64,16,6,990,P064413
팔도비빔면컵,115.0,465.0,8,68,18,14,1190,P064414
팔도탄탄면 왕컵,116.0,500.0,11,65,22,4,1700,P064415
편스토랑 마장면,123.0,515.0,10,78,18,11,1180,P064416
편스토랑 파래탕면,103.0,440.0,10,64,16,2,1730,P064417
우유라면,105.0,440.0,9,67,15,6,1530,P064418
감자면큰사발면,92.0,405.0,6,62,15,5,1450,P065193
김치사발면,86.0,380.0,7,56,14,5,1520,P065194
김치큰사발면,112.0,500.0,9,75,18,6,1590,P065195
너구리컵,62.0,280.0,5,42,10,4,940,P065196
너구리큰사발면,111.0,515.0,9,72,21,4,1550,P065197
마라고수(高手)마라탕면,97.0,445.0,8,63,18,5,1620,P065198
무파마탕면큰사발면,112.0,495.0,9,76,17,4,1570,P065199
보글보글부대찌개컵,65.0,290.0,5,45,10,2,1210,P065200
보글보글부대찌개큰사발면,109.0,480.0,9,75,16,5,1690,P065201
볶음너구리큰사발면,110.0,515.0,10,69,22,6,1090,P065202
사리곰탕컵,61.0,275.0,5,41,10,2,1050,P065203
사리곰탕큰사발면,111.0,490.0,8,76,17,3,1590,P065204
사천짜파게티큰사발면,115.0,535.0,9,80,20,8,1010,P065205
새우탕컵,67.0,290.0,5,43,11,3,1210,P065206
새우탕큰사발면,115.0,510.0,10,77,18,5,1590,P065207
순한너구리컵,63.0,275.0,5,43,9,4,1210,P065208
辛라면 BLACK(컵),101.0,440.0,9,67,15,4,1450,P065209
신라면 큰사발면,114.0,500.0,9,75,17,6,1550,P065210
신라면블랙사발,101.0,445.0,9,68,15,5,1530,P065211
신라면블랙사발 두부김치,94.0,400.0,7,64,13,7,1710,P065212
신라면컵,65.0,300.0,5,47,10,3,1290,P065213
안성탕면컵,66.0,290.0,5,43,11,3,1000,P065214
앵그리짜파구리큰사발면,108.0,500.0,8,74,19,9,1230,P065215
양념치킨큰사발면,122.0,500.0,9,73,19,16,1120,P065216
오징어짬뽕컵,67.0,290.0,6,46,9,5,1240,P065217
오징어짬뽕큰사발면,115.0,525.0,9,79,19,10,1590,P065218
우육탕큰사발면,115.0,520.0,10,77,19,5,1590,P065219
육개장사발면,86.0,375.0,7,53,15,4,1590,P065220
육개장큰사발면,110.0,490.0,9,73,18,5,1610,P065221
짜왕매운맛큰사발면,104.0,470.0,7,70,18,6,1020,P065222
짜왕큰사발면,105.0,495.0,9,72,19,9,990,P065223
짜파게티맛국물라볶이용기,199.0,630.0,8,105,20,14,1500,P065224
짜파게티범벅,70.0,315.0,6,50,10,6,850,P065225
짜파게티큰사발면,123.0,550.0,10,85,19,8,1220,P065226
참치마요큰사발면,119.0,530.0,9,67,25,5,930,P065227
콘치즈면,104.0,480.0,9,70,18,7,1030,P065228
튀김우동컵,62.0,315.0,4,41,15,4,1200,P065229
튀김우동큰사발면,111.0,515.0,9,73,21,8,1590,P065230
특육개장큰사발면,103.0,460.0,8,67,18,5,1570,P065231
해물안성탕면컵,66.0,290.0,5,43,11,5,1250,P065232
레드라면컵,103.0,470.0,10,68,17,3,1930,P065314
레드라면컵미니,65.0,290.0,6,42,11,2,960,P065315
안심짜장면컵,124.0,545.0,9,75,23,8,770,P065316
자연드림라면컵,102.0,460.0,10,66,17,4,1920,P065317
자연드림라면컵미니,65.0,300.0,6,44,11,2,1170,P065318
키토라면,101.0,400.0,12.6,59.6,20,0,2190,P065319
해물라면컵,105.0,480.0,9,67,19,4,1540,P065320
7가지 채소가득 우리밀라면,72.0,340.0,7,44,15,2,1340,P067832
군산불짬뽕컵면,82.0,346.0,9,40,16,2,1424,P067833
삼육 우리밀로만든감자라면컵,73.0,325.0,6,45,14,3,1170,P067834
애터미우리밀감자라면컵,73.0,321.0,6,45,14,3,1000,P067835
우리감자로만든감자라면,73.0,335.0,7,43,15,2,1280,P067836
우리채소가풍부한짬뽕라면,75.0,345.0,7,46,15,3,1400,P067837
제주딱새우라면,68.0,297.0,7,42,12,1,1446,P067838
제주흑돼지라면컵돗멘,73.0,333.0,7,45,14,1,1233,P067839
gomgom호로록매콤라면,86.0,365.0,6,60,11,2,1570,P072751
gomgom호로록짜장라면,86.0,380.0,6,60,13,5,810,P072752
gomgom호로록짬뽕라면,86.0,360.0,6,59,11,3,1570,P072753
강릉교동반점직화짬뽕,110.0,450.0,10,69,15,6,1770,P072754
공화춘 삼선짬뽕,110.0,505.0,9,68,22,3,1690,P072755
공화춘 아주매운짬뽕,110.0,500.0,10,70,20,2,1730,P072756
김치왕뚜껑,110.0,470.0,8,71,17,4,1790,P072757
꼬꼬면왕컵,105.0,455.0,8,68,17,4,1610,P072758
동원 고추참치라면,160.0,560.0,13,77,22,15,1890,P072759
동원 참치라면,160.0,535.0,15,65,24,2,1660,P072760
빅3볶음김치면,150.0,530.0,9,67,25,4,1780,P072761
속초홍게라면,115.0,500.0,10,72,19,4,1680,P072762
오모리 김치찌개라면,150.0,485.0,9,67,20,2,1870,P072763
유어스틈새라면,105.0,465.0,9,73,15,4,1670,P072764
일품삼선짜장컵,100.0,425.0,9,68,13,5,950,P072765
팔도 도시락,86.0,380.0,6,57,14,3,1400,P072766
팔도 비빔면 치즈컵,108.0,455.0,7,69,17,10,880,P072767
팔도 짬뽕왕뚜껑,110.0,475.0,9,71,17,4,1740,P072768
팔도김치도시락,86.0,395.0,6,57,16,2,1590,P072769
팔도짜장면 왕컵,160.0,515.0,11,71,21,11,960,P072770
홍석천‘S 홍라면 매운치즈볶음면,119.0,495.0,8,78,17,11,1160,P072771
강릉교동반점짬뽕,110.0,470.0,9,72,16,6,1670,P078785
공화춘 유산슬라면,100.0,440.0,10,66,15,2,1120,P078786
국민컵라면,85.0,370.0,7,54,14,3,1490,P078787
봉골라면,95.0,425.0,8,60,17,3,1100,P078788
부산매운어묵라면,110.0,475.0,11,76,14,3,1810,P078789
시원한 두껍라면,105.0,450.0,9,70,15,5,1850,P078790
요린이의 보글보글 된장라면,110.0,465.0,10,75,14,3,1390,P078791
치킨이타고있어요,115.0,455.0,11,73,13,6,1210,P078792
컵 맛있는라면,65.0,285.0,5,42,11,3,1180,P078793
컵 불닭볶음면,70.0,280.0,6,42,10,6,630,P078794
컵 삼양라면 오리지널,65.0,295.0,5,42,12,2,1160,P078795
컵까르보불닭볶음면,80.0,355.0,5,48,16,5,910,P078796
컵나가사끼짬뽕,65.0,300.0,6,42,12,2,1240,P078797
컵삼양라면 매운맛,65.0,275.0,5,41,10,2,1220,P078798
크리스피어니언 미고랭,90.0,415.0,8,55,18,3,1210,P078799
큰컵 간짬뽕,105.0,415.0,9,59,16,8,1000,P078800
큰컵 까르보불닭볶음면,105.0,470.0,7,63,21,7,1190,P078801
큰컵 마라탕면,115.0,450.0,11,66,16,8,1720,P078802
큰컵 맛있는라면,112.0,485.0,10,71,18,3,1540,P078803
큰컵 미원라면,105.0,460.0,9,72,15,3,1630,P078804
큰컵 미트스파게티 불닭볶음면,110.0,430.0,11,65,14,7,1200,P078805
큰컵 불닭볶음면,105.0,425.0,9,63,15,8,950,P078806
큰컵 불닭볶음탕면,120.0,455.0,9,69,16,7,1500,P078807
큰컵 삼계탕면,100.0,430.0,9,67,14,3,1580,P078808
큰컵 삼양라면 오리지널,110.0,470.0,9,75,15,4,1800,P078809
큰컵 삼양라면골드,105.0,445.0,9,71,14,3,1690,P078810
큰컵 쇠고기면,80.0,345.0,7,50,13,3,1460,P078811
큰컵 짜장불닭볶음면,105.0,425.0,10,63,15,6,1000,P078812
큰컵 쫄볶이 불닭볶음면,120.0,485.0,9,69,19,12,1330,P078813
큰컵 쯔유간장우동,130.0,490.0,11,75,16,8,1620,P078814
큰컵 치즈불닭볶음면,105.0,430.0,9,63,16,5,1000,P078815
큰컵 커리불닭볶음면,105.0,425.0,9,63,15,6,1000,P078816
큰컵 크림까르보불닭볶음면,120.0,480.0,10,72,17,10,1270,P078817
큰컵 튀김칼국수,95.0,420.0,9,62,15,4,1270,P078818
큰컵나가사끼짬뽕,105.0,445.0,9,69,15,4,1620,P078819
큰컵삼양라면 매운맛,110.0,485.0,10,73,17,2,1720,P078820
큰컵 4가지치즈불닭볶음면,110.0,445.0,11,67,15,9,1550,P078821
진경여행라면 얼큰한맛,258.0,185.0,3,30,6,1,900,P080409
Gamer'z cup 힐러 고기짬뽕,145.0,450.0,13,68,16,4,1690,P080789
MAC&CHEESE 스파게티,130.0,425.0,10,58,17,8,1390,P080790
THE매운맛라면,110.0,500.0,12,68,20,3,1720,P080791
굴진짬뽕 용기,110.0,455.0,8,67,17,5,1340,P080792
깻잎라면,95.0,425.0,9,61,16,3,1700,P080793
꽃게랑면,100.0,435.0,9,68,14,5,1530,P080794
대파라면,105.0,475.0,10,64,20,5,1750,P080795
떡라면,140.0,495.0,10,87,12,6,1690,P080796
라면볶이,120.0,465.0,8,79,13,13,900,P080797
부산어묵탕라면,100.0,430.0,10,66,14,10,1810,P080798
부자될라면,118.0,490.0,9,78,16,9,910,P080799
송송썰린 김치가 푸짐한 김치찌개라면,105.0,455.0,10,68,16,5,1830,P080800
송탄 영빈루 짜장,125.0,530.0,11,81,18,6,1290,P080801
송탄 영빈루 짬뽕,120.0,470.0,10,72,16,5,1670,P080802
쇠고기미역국라면Cup,60.0,235.0,5,34,9,1,1030,P080803
순후추라면 매운맛,105.0,475.0,9,47,19,6,1790,P080804
순후추라면 사골곰탕맛,105.0,470.0,10,69,17,3,1770,P080805
스낵면 Cup,62.0,265.0,5,41,9,3,1200,P080806
스낵면용기,90.0,425.0,8,53,20,3,1680,P080807
스파게티용기,120.0,480.0,9,73,17,8,730,P080808
열라면Cup,62.0,272.0,6,44,8,3,1200,P080809
오뚜기 리얼치즈라면,120.0,480.0,10,72,17,7,1370,P080810
오뚜기 볶음진짬뽕,110.0,450.0,9,67,16,8,1000,P080811
오뚜기 부대찌개라면,115.0,450.0,12,71,13,6,1840,P080812
오뚜기 북엇국라면,95.0,425.0,11,61,15,4,1320,P080813
오뚜기 새우탕면,110.0,470.0,11,73,15,2,1650,P080814
오뚜기 유부우동,100.0,445.0,11,62,17,7,1580,P080815
오뚜기 진라면 순한맛,110.0,495.0,11,72,18,3,1490,P080816
오뚜기 진짜장,115.0,480.0,10,74,16,7,990,P080817
오뚜기 진짬뽕,115.0,485.0,9,65,21,6,1790,P080818
오뚜기 참깨라면,110.0,495.0,9,70,20,4,1590,P080819
오뚜기 철판뽀끼,125.0,530.0,9,76,21,13,1260,P080820
오뚜기 크림진짬뽕,105.0,460.0,8,67,19,5,970,P080821
오뚜기김치면,105.0,450.0,9,72,14,4,1440,P080822
오뚜기쇠고기미역국라면,100.0,425.0,10,58,17,2,1390,P080823
오뚜기열라면,105.0,460.0,10,69,16,3,1520,P080824
오뚜기오동통면,100.0,430.0,7,71,13,3,1500,P080825
오뚜기육개장,110.0,490.0,10,72,18,3,1540,P080826
오뚜기진라면매운맛,110.0,500.0,10,74,18,6,1490,P080827
오뚜기진진짜라,120.0,515.0,11,75,19,7,1310,P080828
오뚜기카레면 용기,110.0,450.0,8,71,15,9,1480,P080829
오라면CUP,90.0,400.0,9,60,14,4,1470,P080830
오모리부대찌개라면,135.0,435.0,11,57,18,5,1770,P080831
오모리참치찌개라면,135.0,420.0,10,57,17,5,1890,P080832
완면각 짬뽕,105.0,410.0,9,62,14,4,1890,P080833
유부우동Cup,62.0,275.0,7,39,10,5,960,P080834
육개장,86.0,400.0,8,52,18,3,1470,P080835
인생라면,95.0,405.0,9,63,13,4,1780,P080836
제주마늘라면,105.0,470.0,10,71,16,4,1450,P080837
종가집김치찌개라면,140.0,455.0,10,63,18,6,1720,P080838
진라면Cup매운맛,65.0,280.0,6,44,9,3,1140,P080839
진라면Cup순한맛,65.0,280.0,7,43,9,3,1170,P080840
진짜장 Cup,70.0,305.0,6,44,11,4,600,P080841
진짬뽕cup,75.0,300.0,6,44,11,3,1140,P080842
짜계치,105.0,470.0,11,68,17,9,1250,P080843
짜라볶이,130.0,530.0,12,87,15,12,990,P080844
짜장볶이,120.0,535.0,11,80,19,9,870,P080845
참깨누룽지탕면,125.0,560.0,11,86,19,3,1550,P080846
참깨라면 CUP,65.0,285.0,6,41,11,3,1310,P080847
청양고추라면,97.0,430.0,8,66,15,6,1690,P080848
치즈맛라면,91.0,380.0,7,61,12,4,1390,P080849
치즈볶이,95.0,430.0,9,63,16,6,1180,P080850
치즈볶이CUP,55.0,235.0,4,39,7,3,700,P080851
튀김우동,110.0,490.0,10,76,16,5,1580,P080852
하트시그널 짜라볶이,100.0,410.0,9,67,12,8,760,P080853
하트시그널 치즈게티,100.0,420.0,8,66,14,7,670,P080854
희망줄라면,95.0,430.0,9,62,16,4,1770,P080855
오뚜기 케챂볶음면,125.0,510.0,8,86,15,17,1090,P080856
오뚜기 열려라참깨라면,110.0,500.0,10,72,19,5,1710,P080857
금산제면소 탄탄멘,150.0,403.305,8.8,90.6,0.6,2.4,605.7,P087540
손수 때릴타면,120.0,495.0,-,-,-,4,1730,P031418
개운한 맛으로 소문난 라면,110.0,470.0,-,-,-,-,-,P031419
짜장 불닭볶음면,140.0,560.0,13,84,19,8,1420,P031421
손수때릴타면,120.0,500.0,9,80,16,4,1420,P031424
쇠고기면,120.0,495.0,10,80,15,3,1855,P031425
삼양 큰컵,80.0,289.92,4.99,42.56,12.29,2.24,786.56,P031426
육개장,86.0,380.0,7,56,14,3,1590,P031427
컵라면,80.0,305.92,4.35,44.54,12.22,1.75,803.84,P031428
생우동,100.0,163.0,3.4,34.6,3,3.52,41,P031432
큰냄비우동,80.0,304.0,4.93,42.56,15.55,0,786.56,P031433
CU해물탕컵,80.0,268.16,5.5,40.83,9.15,3.2,1072.7,P031435
게살 야채탕면,120.0,565.15,13.91,116.51,5.22,1.31,3164.8,P031438
고추짜장,120.0,560.59,14.4,88.42,16.42,6.17,1080,P031439
국물자작 라볶이,80.0,265.86,5.89,43.33,7.87,2.94,955.07,P031440
국물자작 치즈커리,80.0,285.57,5.89,41.34,10.82,3.2,905.86,P031441
김치라면,120.0,505.0,11,79,16,4,1650,P031442
나가사끼 꽃게짬뽕,120.0,528.09,9.8,88.2,15.24,6.97,1731.27,P031443
나가사끼 짬뽕,120.0,594.72,12.53,100.22,16.27,6.97,2091.17,P031444
나가사끼 홍짬뽕,120.0,601.06,11.23,98.93,17.57,6.97,2216.3,P031445
도전!하바네로 컵짜장,80.0,265.86,6.91,43.33,6.91,4.27,679.36,P031446
돈 사골탕면,120.0,505.0,13,79,15,7.85,1850,P031447
된장라면,120.0,495.0,10,78,16,5,1710,P031448
맛있는라면,115.0,480.0,9,77,15,4,1720,P031449
면왕500,120.0,642.53,11.09,95.33,24.34,1.31,3012.9,P031450
바지락칼국수,120.0,393.26,11.09,83.09,1.58,2.03,1894.1,P031451
부셔먹는 라면스낵 불닭,90.0,425.0,8,62,16,3,790,P031452
불닭볶음면,120.0,545.18,12.38,87.41,16.42,1.31,1316.59,P031453
사리면,120.0,641.52,11.81,98.21,22.32,1.31,680.69,P031454
손수 때릴타면,100.0,412.5,7.5,67.5,12.5,3.3,1441.7,P031455
손칼국수,100.0,345.0,9,75,1,0.6,1620,P031456
쇠고기면,100.0,425.0,9.2,66.7,13.3,2.5,1458.3,P031457
수타면,120.0,600.52,11.99,97.38,18.12,1.31,2181.1,P031458
쌀라면,120.0,522.65,13.07,80.58,16.33,1.31,1938.1,P031459
안 튀긴 면,120.0,489.6,14.4,105.12,1.44,1.31,2721.6,P031460
얼큰 특면,120.0,501.61,9.84,80.65,15.74,3.6,1849.05,P031461
열무비빔면,120.0,581.47,9.94,90.86,19.87,7.75,1351.4,P031462
육개장,100.0,441.9,8.1,65.1,16.3,3.5,1848.8,P031463
이마트 맛승부 매운맛,120.0,500.0,10,79,16,3.6,1870,P031464
이마트 맛승부 해물맛,120.0,505.0,10,78,17,1.31,1990,P031465
이마트 볶음짜장,120.0,550.22,14.4,86.4,16.42,6.17,1224,P031466
이마트 육개장,120.0,739.86,13.63,110.98,27.26,5.02,3796.6,P031467
이마트 육개장컵,120.0,1022.48,17.04,139.74,44.31,1.67,4124,P031468
이마트 하바네로라면,120.0,533.54,10.89,82.75,17.42,1.31,2047.03,P031469
장수면,120.0,517.2,10.89,81.66,16.33,1.31,2134.1,P031470
짜짜로니,120.0,591.41,11.38,85.39,22.61,7.2,1224,P031471
차오차이,120.0,443.08,10.23,65.61,15.34,1.31,1073.6,P031472
컵 나가사끼 짬뽕,80.0,295.36,5.89,41.34,11.84,3.1,1220.9,P031473
컵 삼양라면,65.0,295.0,5,42,12,2,1160,P031476
큰컵 삼양라면,115.0,490.0,10,74,17,4,1580,P031481
큰컵 유부우동,80.0,270.53,4.67,43.07,8.7,2.88,1029.8,P031482
큰컵 짜짜로니,120.0,576.0,13.68,83.66,20.59,7.2,1110.82,P031483
토마토 비비올레,120.0,558.72,9.22,92.16,17.28,1.31,1209.6,P031484
포장마차 얼큰한맛,120.0,485.0,10,78,15,6.97,1950,P031485
포장마차 우동얼큰한맛,120.0,594.0,11.95,96.05,18,4.07,2148,P031486
하바네로 짬뽕,120.0,613.58,13.82,95.18,20.02,6.97,2329,P031487
하이리빙파워 라면,120.0,510.0,11,80,16,3,1770,P031488
하이리빙파워 미니컵,80.0,439.29,7.57,62.11,18.18,3.2,1923.7,P031489
한우특+뿔면,120.0,594.72,12.53,91.44,20.02,1.31,2166.1,P031490
해물짬뽕,120.0,495.0,10,78,16,6.97,1940,P031491
호해면,120.0,509.79,14.99,104.96,3,1.31,2653.8,P031492
손칼국수,100.0,355.0,11,76,1,4,1500,P031531
바지락칼국수,100.0,355.0,10,75,1.4,4,1710,P031532
삼양라면,120.0,500.0,10,79,16,4,1790,P031542
불닭볶음면,140.0,530.0,12,85,16,7,1280,P031543
큰컵 불닭볶음면,105.0,425.0,9,63,15,8,950,P031544
삼양라면,120.0,500.0,10,79,16,4,1790,P031545
짜짜로니,140.0,570.0,12,85,20,7,1190,P031546
큰컵 치즈불닭볶음면,105.0,430.0,9,63,16,5,1000,P031547
삼양라면 매운맛,120.0,515.0,9,79,18,5,1780,P031548
쇠고기면,120.0,490.0,11,78,15,5,1750,P031549
열무비빔면,130.0,530.0,8,82,19,7,1220,P031550
맛있는라면,115.0,480.0,9,77,15,4,1720,P031551
컵 삼양라면,65.0,295.0,5,42,12,2,1160,P031552
까르보불닭볶음면,130.0,550.0,8,84,20,5,1330,P031553
핵불닭볶음면,140.0,555.0,12,84,19,6,1450,P031554
사리면,110.0,490.0,9,75,17,3,520,P031555
짜장라면,135.0,530.0,14,80,17,6,940,P031556
큰컵 간짬뽕,105.0,415.0,9,59,16,8,1000,P031557
간짬뽕,140.0,560.0,14,88,17,7,1290,P031558
큰컵 삼양라면,115.0,490.0,10,74,17,4,1580,P031559
컵 불닭볶음면,70.0,280.0,6,42,10,6,630,P031560
치즈불닭볶음면,140.0,550.0,13,84,18,7,1440,P031561
갓짬뽕,120.0,490.0,9,78,16,3,1850,P031563
손수때릴타면,120.0,500.0,9,81,15,4,1730,P031564
큰컵나가사끼짬뽕,105.0,445.0,9,69,15,4,1620,P031565
큰컵 커리불닭볶음면,105.0,425.0,9,63,15,6,1000,P031566
김치찌개면,115.0,475.0,10,75,15,4,1780,P031567
나가사끼짬뽕,115.0,475.0,10,80,13,4,1670,P031568
육개장,86.0,380.0,7,56,14,3,1590,P031570
나가사끼홍짬뽕,115.0,480.0,9,79,14,4,1770,P031571
삼양냄비우동,120.0,510.0,10,82,16,5,1790,P031572
된장라면,120.0,495.0,10,78,16,5,1710,P031573
큰컵삼양라면 매운맛,110.0,485.0,9,74,17,4,1630,P031574
큰컵 와사마요볶음면,115.0,0.3,9,66,19,7,1000,P031575
갓짜장,130.0,580.0,10,90,20,8,1180,P031576
개운한 맛으로 소문난 라면,110.0,465.0,9,72,16,3,1980,P031577
소면,100.0,339.0,15.1,69.4,0.2,2.09,1714,P032101
물냉면,100.0,344.0,12.2,73.5,0.1,3.46,402,P032108
순쌀짜장면,80.0,181.6,-,-,-,0.7,128.8,P035086
링귀네,100.0,355.0,-,-,-,3.9,0,P035087
해물안성탕면,112.0,485.0,-,-,-,5,1790,P035100
오뚜기카레면,130.0,515.0,-,-,-,130,1560,P035101
오뚜기뿌셔뿌셔(양념치킨맛),90.0,415.0,-,-,-,5,920,P035102
청수물냉면,180.0,542.0,-,-,-,15,3006,P035111
쫄깃한 당면 500G(쫄깃한 당면),100.0,340.0,-,-,-,0,0,P035112
오뚜기옛날납작당면(100G)(OTTOGI WIDE VERMICELLI),100.0,345.0,-,-,-,0,130,P035113
오뚜기 옛날잡채,75.0,225.0,-,-,-,8,710,P035114
쉐프원 중화면,230.0,375.0,-,-,-,1,540,P035115
쉐프원 잔치국수,100.0,350.0,-,-,-,5,1170,P035119
청수비빔냉면,180.0,578.0,-,-,-,15,2133,P035120
쇠고기미역국라면,115.0,445.0,-,-,-,2,1800,P035122
이탈리아 캄파니아 스파게티,100.0,370.0,-,-,-,4,10,P035123
샘표 쌀소면,100.0,364.0,-,-,-,2,610,P035172
면사랑생쫄면사리,200.0,450.0,-,-,-,0,390,P035174
CHOICE L 소면,100.0,350.0,-,-,-,3,880,P035175
생칼국수,550.0,1430.0,-,-,-,14,4330,P035176
활면 생칼국수,175.0,463.0,-,-,-,3.9,770,P035178
"소표국수(소면,중면)",100.0,350.0,-,-,-,3,1020,P035328
옛날국수(중면),100.0,340.0,-,-,-,7,1530,P035330
우리밀국수 소면,100.0,345.0,-,-,-,3,950,P035332
종표국수,100.0,355.0,-,-,-,2,820,P035356
육개장칼국수,121.0,435.0,9,79,10,6,1790,P035503
돈코츠라멘,116.0,375.0,10,69,7,4,1900,P035504
꽃게탕면,103.0,375.0,8,73,6,5,1520,P035505
멸치칼국수,98.0,335.0,9,74,0.4,6,1790,P035506
튀기지 않은 해물짬뽕,386.0,1390.0,32,302,8,29,7160,P035507
튀김 쫄면,140.0,545.0,10,90,16,14,1350,P035518
냉라면,164.0,620.0,12,103,18,22,1790,P035519
농심사리면,110.0,490.0,8,76,17,1,390,P035520
아임이 민생라면(봉지),115.0,480.0,10,76,15,7,1800,P035521
팔도 쫄비빔면,130.0,480.0,9,82,13,14,1190,P035523
괄도네넴띤,130.0,530.0,9,81,19,13,1270,P035524
와사비진짜쫄면,154.0,565.0,10,91,18,18,1310,P035525
리얼치즈라면,135.0,525.0,11,82,17,6,1570,P035527
라면사리,110.0,480.0,10,74,16,1,550,P035528
백설 제일제면소 칼국수면,100.0,365.0,11,77,1.5,3,20,P035638
옛날국수 중면,100.0,340.0,9,69,3,7,1530,P035639
옛날국수 소면,100.0,340.0,0,69,3,7,1530,P035640
옛날당면,100.0,360.0,0,86,2,2,15,P035641
옛날자른당면,100.0,360.0,0,86,2,2,15,P035642
찰진소면,100.0,350.0,10,76,0.4,5,1280,P035643
멸치맛 쌀국수,92.0,365.0,8,75,3.8,4,1630,P035674
봉평촌 메밀국수 2호,100.0,345.0,9,76,0.6,3,1130,P035675
신선도원 쫄깃국수 소면,100.0,350.0,9,78,0,3,880,P035676
쫄면/주정처리식품,100.0,240.0,7,51,1,1,230,P035677
메밀칼국수,100.0,345.0,9,76,0.7,3,1410,P035678
푸른촌 메밀생면,167.0,475.0,11,104,1.7,7,790,P035679
옛날강황국수,100.0,340.0,9,71,2,5,1370,P035680
오뚜기 옛날국수 소면,100.0,340.0,9,69,3,7,1530,P035681
백설 100% 국산 햇당면,100.0,350.0,0,87,0,0,0,P035682
오뚜기 생면사리,200.0,315.0,9,65,2.2,0,530,P035683
청수멸치칼국수,110.0,385.0,-,-,-,20,1949,P035900
동원 면발의신 원조 생쫄면,202.0,495.0,-,-,-,22,1650,P035902
옛날메밀국수,100.0,325.0,-,-,-,5,1560,P035906
탱탱쫄면,123.0,435.0,-,-,-,18,1180,P035907
가쓰오소스가들어있는메밀국수,160.0,513.0,-,-,-,12,2680,P035908
동원 면발의신 생생비빔면,196.0,495.0,-,-,-,20,1280,P035910
마라탕면,118.0,425.0,-,-,-,5,1590,P035915
청수해물칼국수,110.0,382.0,-,-,-,4,2394,P035917
부산어묵탕라면,100.0,430.0,10,66,14,10,1810,P036533
송송썰린 김치가 푸짐한 김치찌개라면,105.0,455.0,10,68,16,5,1830,P036590
세이면 설렁탕,194.0,340.0,8,58,3.8,1,1780,P036686
국민비빔면,124.0,520.0,8,77,20,8,1340,P037256
일품삼선짜장,120.0,500.0,11,80,15,7,1010,P037271
진진짜라,135.0,540.0,13,86,16,7,1190,P037274
불닭볶음면 P,140.0,530.0,12,85,16,7,1280,P037275
아임이 민생짜장,115.0,485.0,10,77,15,6,990,P037299
맛이차이나짜장면,140.0,545.0,13,87,16,6,1180,P037301
앵그리너구리,121.0,500.0,9,85,14,5,1690,P037346
오뚜기김치라면,120.0,525.0,10,83,17,5,1730,P037347
초마짬뽕,125.0,540.0,12,82,18,4,1850,P037356
팔도 더왕뚜껑,120.0,510.0,11,80,16,4,1790,P037358
삼양라면 골드,120.0,530.0,11,79,19,4,1860,P037359
우리밀라면땅 양념치킨맛,105.0,480.0,8,71,18,3,730,P037374
이백냥,107.0,450.0,10,69,15,3,1800,P037390
이것은 라면이 아니다 시원한 김치찌개라면,150.0,490.0,10,79,15,3,1740,P037391
왕뚜껑컵,65.0,290.0,9,39,11,2,1060,P037465
자연드림라면컵미니,65.0,300.0,6,44,11,2,1170,P037469
진경여행라면 짬뽕맛,44.0,185.0,3,30,6,1,910,P037510
진경여행라면 얼큰한맛,43.0,185.0,3,30,6,1,900,P037511
동원 고추참치라면,160.0,560.0,13,77,22,15,1890,P038244
칼빔면,144.0,595.0,9,92,21,15,1400,P038245
팔도비빔면컵,115.0,465.0,8,68,18,14,1190,P038266
짜파게티맛국물라볶이용기,199.0,630.0,8,105,20,14,1500,P038282
큰컵 짱구 허니시나몬볶음면,115.0,460.0,11,73,14,12,1030,P038412
큰컵 쫄볶이 불닭볶음면,120.0,485.0,9,69,19,12,1330,P038413
짜라볶이,130.0,530.0,12,87,15,12,990,P038414
팔도비비(BB)크림면,133.0,575.0,10,87,21,12,1190,P038417
MAC&TOMATO 스파게티,165.0,490.0,10,79,15,12,1150,P038475
편스토랑 마장면,123.0,515.0,10,78,18,11,1180,P038516
팔도짜장면 왕컵,160.0,515.0,11,71,21,11,960,P038532
오뚜기 철판뽀끼,125.0,530.0,9,76,21,11,1260,P038591
팔도 비빔면 치즈컵,108.0,455.0,7,69,17,10,880,P038638
