Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
100,깻잎,5.0,1.2,0.6,0.1,0.0,0.3,0.0,2012-01-06
101,깻잎장아찌,6.0,0.6,0.3,0.0,0.0,0.1,0.0,2012-01-17
102,꼬막,20.0,0.3,3.5,0.5,13.4,0.0,0.0,2012-01-04
103,꼬막찜,34.0,2.0,3.9,1.1,6.3,0.2,73.0,2012-01-17
104,꽁치,74.0,0.0,8.8,3.9,31.1,0.0,36.0,2012-01-06
105,꽁치구이,98.0,0.1,10.0,6.0,35.3,0.0,378.0,
106,꽁치조림,60.0,1.8,6.6,2.8,21.6,0.3,137.0,2012-01-04
107,꽃게,33.0,0.9,6.2,0.4,36.0,0.0,137.0,2012-01-04
108,꽃게장,32.0,2.4,4.8,0.3,25.2,0.1,344.0,
109,꽃게탕,98.0,7.1,14.4,1.5,70.6,0.6,874.0,2012-01-04
110,꿀,59.0,15.9,0.0,0.0,0.0,0.0,1.0,
111,낙지,33.0,0.1,6.9,0.4,52.8,0.0,136.0,2012-01-04
112,낙지볶음,90.0,10.8,6.9,3.0,42.8,0.8,807.0,
113,냉이,9.0,1.6,1.4,0.2,0.0,0.5,5.0,2012-01-04
114,냉이된장국,43.0,5.1,4.6,1.1,2.9,0.8,891.0,2012-01-11
115,넙치(광어),52.0,0.2,10.2,0.9,35.5,0.0,80.0,2012-01-04
116,녹두,151.0,27.9,10.0,0.7,0.0,2.1,1.0,2012-01-06
117,녹두묵,11.0,0.0,0.0,0.0,0.0,0.0,5.0,
118,녹두빈대떡,198.4,21.8,9.0,8.8,7.9,1.0,591.0,
119,녹차,2.0,0.3,0.0,0.0,0.0,0.0,8.0,
120,녹차음료,2.0,0.4,0.0,0.0,0.0,0.0,9.0,2012-01-04
121,누룽지,109.7,24.3,1.8,0.1,0.0,0.1,2.0,2012-01-04
122,느타리버섯,6.0,1.5,0.7,0.0,0.0,0.2,1.0,
123,느타리버섯볶음,24.0,2.7,0.9,1.4,0.1,0.3,217.0,2012-01-04
124,늙은호박,16.0,4.5,0.5,0.1,0.0,0.5,1.0,2012-01-06
